inmates_positive,staff_positive,inmate_deaths,staff_deaths,facility,city,state
234,1,3,0,Fort Worth FMC,fort worth,TX
233,9,2,0,Terminal Island FCI,san pedro,CA
173,9,5,0,Butner Medium I FCI,butner,NC
69,11,1,0,Lompoc USP,lompoc,CA
48,48,7,0,Elkton FCI,lisbon,OH
40,1,0,0,Forrest City Low FCI,forrest city,AR
39,2,0,0,Yazoo City Low FCI,yazoo city,MS
34,35,1,0,Milan FCI,milan,MI
30,2,0,0,Fort Dix FCI,joint base mdl,NJ
22,0,0,0,Oklahoma City FTC,oklahoma city,OK
20,12,0,0,Lompoc FCI,lompoc,CA
13,16,7,0,Oakdale I FCI,oakdale,LA
11,7,0,0,Butner Low FCI,butner,NC
8,0,0,0,Central Territorial of the Salvation Army; DBA Salvation Army Correctional Ser (RRC),chicago,IL
7,5,0,0,Atlanta USP,atlanta,GA
6,18,0,0,Chicago MCC,chicago,IL
6,0,0,0,"Community Resources for Justice, Inc. (RRC)",boston,MA
5,32,1,0,Danbury FCI,danbury,CT
5,6,0,0,Ray Brook FCI,ray brook,NY
3,0,0,0,"Kintock Group, The (RRC)",newark,NJ
3,8,0,0,Oakdale II FCI,oakdale,LA
3,0,0,0,Volunteers of America (RRC),metairie,LA
3,0,0,0,"Volunteers of America, Inc. (Minnesota) (RRC)",minneapolis,MN
2,3,0,0,Aliceville FCI,aliceville,AL
2,0,0,0,"CORE Services Group, Inc. (RRC)",brooklyn,NY
2,0,0,0,Carswell FMC,fort worth,TX
2,0,0,0,"Cherry Street Services, Inc. (RRC)",grand rapids,MI
2,2,0,0,Cumberland FCI,cumberland,MD
2,0,0,0,"GEO Reentry of Alaska, Inc. (RRC)",oakland,CA
2,10,0,0,Otisville FCI,otisville,NY
1,0,0,0,"Behavioral Systems Southwest, Inc. (RRC)",van nuys,CA
1,2,0,0,Bennettsville FCI,bennettsville,SC
1,25,0,0,Brooklyn MDC,brooklyn,NY
1,5,0,0,Butner FMC,butner,NC
1,0,0,0,"Cherry Street Services, Inc. (RRC)",detroit,MI
1,0,0,0,Coleman Low FCI,sumterville,FL
1,0,0,0,"Community Solutions, Inc. (RRC)",wilmington,DE
1,0,0,0,"Community Solutions, Inc. (RRC)",hartford,CT
1,0,0,0,Devens FMC,ayer,MA
1,0,0,0,"GEO Care, LLC (RRC)",sacramento,CA
1,0,0,0,"Kintock Group, The (RRC)",philadelphia,PA
1,0,0,0,Lexington FMC,lexington,KY
1,0,0,0,Pioneer Human Services; DBA:  Pioneer Industries (RRC),seattle,WA
1,0,0,0,Seagoville FCI,seagoville,TX
1,0,0,0,"Volunteers of America of Western New York, Inc. (RRC)",rochester,NY
1,3,0,0,Yazoo City Medium FCI,yazoo city,MS
1,6,0,0,Yazoo City USP,yazoo city,MS
0,0,1,0,"Behavioral Systems Southwest, Inc. (RRC)",phoenix,AZ
0,1,0,0,Central Office HQ,washington,DC
0,1,0,0,Coleman I USP,sumterville,FL
0,1,0,0,Coleman II USP,sumterville,FL
0,1,0,0,Englewood FCI,littleton,CO
0,1,0,0,Fairton FCI,fairton,NJ
0,3,0,0,Forrest City Medium FCI,forrest city,AR
0,1,0,0,Grand Prairie,grand prairie,TX
0,1,0,0,La Tuna FCI,anthony,TX
0,1,0,0,Los Angeles MDC,los angeles,CA
0,1,0,0,McCreary USP,pine knot,KY
0,1,0,0,Memphis FCI,memphis,TN
0,12,0,0,Miami FDC,miami,FL
0,25,0,0,New York MCC,new york,NY
0,1,0,0,Southeast RO,atlanta,GA
0,1,0,0,Tallahassee FCI,tallahassee,FL
